City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
441,Maningrida,AU,62.87,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
445,Verkhnyaya Inta,RU,61.63,overcast clouds,65.9811,60.3094,
446,Yumen,CN,78.58,overcast clouds,40.2833,97.2,
451,Iqaluit,CA,62.17,overcast clouds,63.7506,-68.5145,Frobisher Inn
453,Burgeo,CA,65.66,overcast clouds,47.6167,-57.6152,Gillett's Motel
454,Sabaudia,IT,79.9,clear sky,41.3003,13.0282,Oasi di Kufra
455,Luanda,AO,69.62,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
457,Samarai,PG,78.1,overcast clouds,-10.6167,150.6667,Nuli Sapi
458,Tres Passos,BR,71.02,overcast clouds,-27.4556,-53.9319,Hotel Imperial
461,Aksarka,RU,62.62,few clouds,66.5606,67.7975,
462,Quchan,IR,76.91,clear sky,37.106,58.5095,گلیم دستبافت کیمیایی
464,Polomolok,PH,68.2,scattered clouds,6.2833,125.0833,Saraynos' Place
465,College,US,60.21,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
466,Novonikolayevskiy,RU,71.78,scattered clouds,50.9738,42.3649,Gostinitsa
467,Amnat Charoen,TH,78.94,broken clouds,15.9167,104.75,หอพักนักศึกษา
468,Pacific Grove,US,77.34,broken clouds,36.6177,-121.9166,Lovers Point Inn
